ID: 0	Name: Hans

ID: 1	Name: Man

ID: 2	Name: Man

ID: 3	Name: Man

ID: 4	Name: Woman

ID: 5	Name: Woman

ID: 6	Name: Woman

ID: 7	Name: Farmer

ID: 8	Name: Thief

ID: 9	Name: Guard

ID: 10	Name: Schoolgirl

ID: 11	Name: Tramp

ID: 12	Name: Barbarian

ID: 13	Name: Wizard

ID: 14	Name: Druid

ID: 15	Name: Warrior woman

ID: 16	Name: Man

ID: 17	Name: Schoolgirl

ID: 18	Name: Al-Kharid warrior

ID: 19	Name: White Knight

ID: 20	Name: Paladin

ID: 21	Name: Hero

ID: 22	Name: Forester

ID: 23	Name: Knight of Ardougne

ID: 24	Name: Man

ID: 25	Name: Woman

ID: 26	Name: Knight of Ardougne

ID: 27	Name: Archer

ID: 28	Name: Zoo keeper

ID: 29	Name: Chuck

ID: 30	Name: Barman

ID: 31	Name: Priest

ID: 32	Name: Guard

ID: 33	Name: Door man

ID: 34	Name: Watchman

ID: 35	Name: Soldier

ID: 36	Name: Wyson the gardener

ID: 37	Name: Sigbert the Adventurer

ID: 38	Name: Shipyard worker

ID: 39	Name: Shipyard worker

ID: 40	Name: Shark

ID: 41	Name: Chicken

ID: 42	Name: Sheep

ID: 43	Name: Sheep

ID: 44	Name: Banker

ID: 45	Name: Banker

ID: 46	Name: Duck

ID: 47	Name: Rat

ID: 48	Name: Oomlie bird

ID: 49	Name: Hellhound

ID: 50	Name: King Black Dragon

ID: 51	Name: Baby dragon

ID: 52	Name: Baby dragon

ID: 53	Name: Red dragon

ID: 54	Name: Black dragon

ID: 55	Name: Blue dragon

ID: 56	Name: Dryad

ID: 57	Name: Fairy

ID: 58	Name: Shadow spider

ID: 59	Name: Giant spider

ID: 60	Name: Giant spider

ID: 61	Name: Spider

ID: 62	Name: Jungle spider

ID: 63	Name: Deadly red spider

ID: 64	Name: Ice spider

ID: 65	Name: Leprechaun

ID: 66	Name: Gnome

ID: 67	Name: Gnome

ID: 68	Name: Gnome

ID: 69	Name: Lizard man

ID: 70	Name: Turael

ID: 71	Name: Orc

ID: 72	Name: Troll

ID: 73	Name: Zombie

ID: 74	Name: Zombie

ID: 75	Name: Zombie

ID: 76	Name: Zombie

ID: 77	Name: Summoned Zombie

ID: 78	Name: Giant bat

ID: 79	Name: Death wing

ID: 80	Name: Camel

ID: 81	Name: Cow

ID: 82	Name: Lesser demon

ID: 83	Name: Greater demon

ID: 84	Name: Black Demon

ID: 85	Name: Golem

ID: 86	Name: Giant rat

ID: 87	Name: Giant rat

ID: 88	Name: Dungeon rat

ID: 89	Name: Unicorn

ID: 90	Name: Skeleton

ID: 91	Name: Skeleton

ID: 92	Name: Skeleton

ID: 93	Name: Skeleton

ID: 94	Name: Skeleton Mage

ID: 95	Name: Wolf

ID: 96	Name: White wolf

ID: 97	Name: White wolf

ID: 98	Name: Dog

ID: 99	Name: Guard dog

ID: 100	Name: Goblin

ID: 101	Name: Goblin

ID: 102	Name: Goblin

ID: 103	Name: Ghost

ID: 104	Name: Ghost

ID: 105	Name: Grizzly bear

ID: 106	Name: Black bear

ID: 107	Name: Scorpion

ID: 108	Name: Poison Scorpion

ID: 109	Name: Pit Scorpion

ID: 110	Name: Fire giant

ID: 111	Name: Ice giant

ID: 112	Name: Moss giant

ID: 113	Name: Jogre

ID: 114	Name: Ogre

ID: 115	Name: Ogre

ID: 116	Name: Cyclops

ID: 117	Name: Hill Giant

ID: 118	Name: Dwarf

ID: 119	Name: Chaos dwarf

ID: 120	Name: Dwarf

ID: 121	Name: Dwarf

ID: 122	Name: Hobgoblin

ID: 123	Name: Hobgoblin

ID: 124	Name: Earth warrior

ID: 125	Name: Ice warrior

ID: 126	Name: Otherworldly being

ID: 127	Name: Magic axe

ID: 128	Name: Snake

ID: 129	Name: Skavid

ID: 130	Name: Yeti

ID: 131	Name: Penguin

ID: 132	Name: Monkey

ID: 133	Name: Black unicorn

ID: 134	Name: Poison spider

ID: 135	Name: Mammoth

ID: 136	Name: Mounted terrorchick gnome

ID: 137	Name: Terrorchick gnome

ID: 138	Name: Terrorbird

ID: 139	Name: Terrorbird

ID: 140	Name: Souless

ID: 141	Name: Big Wolf

ID: 142	Name: Wolf

ID: 143	Name: Jungle Wolf

ID: 144	Name: King Scorpion

ID: 145	Name: Ice warrior

ID: 146	Name: Gull

ID: 147	Name: Cormorant

ID: 148	Name: Pelican

ID: 149	Name: Gull

ID: 150	Name: Gull

ID: 151	Name: Fly trap

ID: 152	Name: null

